section,page,row,model,quality,brand,pdf_prices,note,pdf_source
micas,3,4,MICA HD,MICA,HAODE,$450 MXN / $400 MXN / $350 MXN,,p3 r4: MICA HD | MICA
micas,3,5,MICA MATTE,MICA,HAODE,$450 MXN / $400 MXN / $350 MXN,"Personalización de logo GRATIS en compras de 5,000",p3 r5: MICA MATTE | MICA
micas,3,6,MICA PRIVACIDAD HD,MICA,HAODE,$850 MXN / $800 MXN / $750 MXN,,p3 r6: MICA PRIVACIDAD HD | MICA
micas,3,7,MICA PRIVACIDAD MATTE,MICA,HAODE,$850 MXN / $800 MXN / $750 MXN,,p3 r7: MICA PRIVACIDAD MATTE | MICA
fundas,3,11,CARCASAS XR/17PRO,KIT CARCASA METALICA CON FLEX,HAODE,$400 MXN / $350 MXN,,p3 r11: CARCASAS XR/17PRO | KIT CARCASA METALICA CON FLEX
fundas,3,12,CARCASAS 11/17PRO,KIT CARCASA METALICA CON FLEX,HAODE,$400 MXN / $350 MXN,,p3 r12: CARCASAS 11/17PRO | KIT CARCASA METALICA CON FLEX
fundas,3,13,CARCASAS XS/17PRO,KIT CARCASA METALICA CON FLEX,HAODE,$400 MXN / $350 MXN,,p3 r13: CARCASAS XS/17PRO | KIT CARCASA METALICA CON FLEX
fundas,3,14,CARCASAS XSMAX/17PRO,KIT CARCASA METALICA CON FLEX,HAODE,$400 MXN / $350 MXN,,p3 r14: CARCASAS XSMAX/17PRO | KIT CARCASA METALICA CON FLEX
fundas,3,15,13PRO/14PRO/16PRO,FUNDA 5IN1 CON MICA PREMIUM 3D,HAODE,$100 MXN / $90 MXN,,p3 r15: 13PRO/14PRO/16PRO | FUNDA 5IN1 CON MICA PREMIUM 3D
fundas,3,16,FUNDA 5IN1 CON MICA PREMIUM 3D,FUNDA 5IN1 CON MICA PREMIUM 3D,HAODE,$100 MXN / $90 MXN,,p3 r16: FUNDA 5IN1 CON MICA PREMIUM 3D | FUNDA 5IN1 CON MICA PREMIUM 3D
fundas,3,17,13PRO/14PRO/15PRO/1 6PRO,KIT ALUMINIO DE 17PRO CON LOGO,HAODE,$85 MXN / $70 MXN,,p3 r17: 13PRO/14PRO/15PRO/1 6PRO | KIT ALUMINIO DE 17PRO CON LOGO
fundas,3,18,KIT ALUMINIO DE 17PROMAX CON LOGO,KIT ALUMINIO DE 17PROMAX CON LOGO,HAODE,$85 MXN / $70 MXN,,p3 r18: KIT ALUMINIO DE 17PROMAX CON LOGO | KIT ALUMINIO DE 17PROMAX CON LOGO
fundas,3,19,KIT ALUMINIO DE 17PROMAX SIN LOGO,KIT ALUMINIO DE 17PROMAX SIN LOGO,HAODE,$65 MXN / $50 MXN,,p3 r19: KIT ALUMINIO DE 17PROMAX SIN LOGO | KIT ALUMINIO DE 17PROMAX SIN LOGO
fundas,3,20,KIT ALUMINIO DE 17PROMAX SIN LOGO,KIT ALUMINIO DE 17PROMAX SIN LOGO,HAODE,$65 MXN / $50 MXN,,p3 r20: KIT ALUMINIO DE 17PROMAX SIN LOGO | KIT ALUMINIO DE 17PROMAX SIN LOGO
fundas,3,21,KIT ALUMINIO DE 17PROMAX SIN LOGO,KIT ALUMINIO DE 17PROMAX SIN LOGO,HAODE,$65 MXN / $50 MXN,,p3 r21: KIT ALUMINIO DE 17PROMAX SIN LOGO | KIT ALUMINIO DE 17PROMAX SIN LOGO
fundas,3,22,KIT ALUMINIO DE 17PROMAX SIN LOGO,KIT ALUMINIO DE 17PROMAX SIN LOGO,HAODE,$65 MXN / $50 MXN,,p3 r22: KIT ALUMINIO DE 17PROMAX SIN LOGO | KIT ALUMINIO DE 17PROMAX SIN LOGO
gafas-ai,3,26,Gafas AI G5,GAFAS AI,HAODE,"$1,800 MXN / $1,600 MXN",Producto AI,p3 r26: Gafas AI G5 | GAFAS AI
gafas-ai,3,27,Gafas AI W630,GAFAS AI,HAODE,"$1,900 MXN / $1,700 MXN",Producto AI,p3 r27: Gafas AI W630 | GAFAS AI
gafas-ai,3,28,Gafas AI W610,GAFAS AI,HAODE,"$1,500 MXN / $1,200 MXN",Producto AI,p3 r28: Gafas AI W610 | GAFAS AI
gafas-ai,3,29,Gafas AI G3,GAFAS AI,HAODE,"$1,700 MXN / $1,500 MXN",Producto AI,p3 r29: Gafas AI G3 | GAFAS AI
gafas-ai,3,30,Gafas AI S1,GAFAS AI,HAODE,"$1,500 MXN / $1,300 MXN",Producto AI,p3 r30: Gafas AI S1 | GAFAS AI
gafas-ai,3,31,Gafas AI M89,GAFAS AI,HAODE,"$1,500 MXN / $1,300 MXN",Producto AI,p3 r31: Gafas AI M89 | GAFAS AI
gafas-ai,3,32,Gafas AI M08,GAFAS AI,HAODE,"$1,700 MXN / $1,500 MXN",Producto AI,p3 r32: Gafas AI M08 | GAFAS AI
gafas-ai,3,33,Gafas AI M02,GAFAS AI,HAODE,"$1,600 MXN / $1,400 MXN",Producto AI,p3 r33: Gafas AI M02 | GAFAS AI
gafas-ai,3,34,Gafas AI M95,GAFAS AI,HAODE,"$1,600 MXN / $1,400 MXN",Producto AI,p3 r34: Gafas AI M95 | GAFAS AI
camaras,3,38,LK-030,CAMARA,HAODE,$400 MXN / $300 MXN,,p3 r38: LK-030 | CAMARA
camaras,3,39,LK-007,CAMARA,HAODE,$500 MXN / $400 MXN,,p3 r39: LK-007 | CAMARA
camaras,3,40,LK-032,CAMARA,HAODE,"$1,000 MXN / $800 MXN",,p3 r40: LK-032 | CAMARA
camaras,3,41,LK-018,CAMARA,HAODE,"$1,200 MXN / $1,000 MXN",,p3 r41: LK-018 | CAMARA
celulares-oferta,3,45,Samsung S9,CELULAR OFERTA 6+64,HL,"$2,000 MXN",Tamaño original,p3 r45: Samsung S9 | CELULAR OFERTA 6+64
celulares-oferta,3,46,SamsungS9 PLUS,CELULAR OFERTA 6+64,HL,"$2,300 MXN",Tamaño original,p3 r46: SamsungS9 PLUS | CELULAR OFERTA 6+64
celulares-oferta,3,47,Samsung S10,CELULAR OFERTA 8+128,HL,"$2,500 MXN",Tamaño original,p3 r47: Samsung S10 | CELULAR OFERTA 8+128
celulares-oferta,3,48,Samsung S10 PLUS,CELULAR OFERTA 8+128,HL,"$2,700 MXN",Tamaño original,p3 r48: Samsung S10 PLUS | CELULAR OFERTA 8+128
celulares-oferta,3,49,Samsung S10E,CELULAR OFERTA 8+128,HL,"$2,800 MXN",Tamaño original,p3 r49: Samsung S10E | CELULAR OFERTA 8+128
celulares-oferta,3,50,Samsung S20 5G,CELULAR OFERTA 12+256,HL,"$3,000 MXN",Tamaño original,p3 r50: Samsung S20 5G | CELULAR OFERTA 12+256
celulares-oferta,3,51,Samsung S20 PLUS,CELULAR OFERTA 12+256,HL,"$3,300 MXN",Tamaño original,p3 r51: Samsung S20 PLUS | CELULAR OFERTA 12+256
celulares-oferta,3,52,Samsung S20FE,CELULAR OFERTA 6+128,HL,"$2,700 MXN",Tamaño original,p3 r52: Samsung S20FE | CELULAR OFERTA 6+128
celulares-oferta,3,53,Samsung S20 Ultra,CELULAR OFERTA 12+256,HL,"$3,500 MXN",Tamaño original,p3 r53: Samsung S20 Ultra | CELULAR OFERTA 12+256
celulares-oferta,3,54,Samsung S21,CELULAR OFERTA 12+256,HL,"$3,000 MXN",Tamaño original,p3 r54: Samsung S21 | CELULAR OFERTA 12+256
celulares-oferta,3,55,Samsung S21 Ultra,CELULAR OFERTA 12+256,HL,"$3,800 MXN",Tamaño original,p3 r55: Samsung S21 Ultra | CELULAR OFERTA 12+256
celulares-oferta,3,56,Samsung S22 Ultra,CELULAR OFERTA 12+256,HL,"$4,000 MXN",Tamaño original,p3 r56: Samsung S22 Ultra | CELULAR OFERTA 12+256
celulares-oferta,3,57,Samsung Z FIP3 PRO ，Doble Pantalla,CELULAR OFERTA 8+128,HL,"$4,000 MXN",Tamaño original,p3 r57: Samsung Z FIP3 PRO ，Doble Pantalla | CELULAR OFERTA 8+128
celulares-oferta,3,58,Samsung NOTE8,CELULAR OFERTA 4+64,HL,"$2,000 MXN",Tamaño original,p3 r58: Samsung NOTE8 | CELULAR OFERTA 4+64
celulares-oferta,3,59,Samsung NOTE9,CELULAR OFERTA 8+128,HL,"$2,500 MXN",Tamaño original,p3 r59: Samsung NOTE9 | CELULAR OFERTA 8+128
celulares-oferta,3,60,Samsung NOTE10,CELULAR OFERTA 8+256,HL,"$2,700 MXN",Tamaño original,p3 r60: Samsung NOTE10 | CELULAR OFERTA 8+256
celulares-oferta,3,61,Samsung NOTE10 PLUS,CELULAR OFERTA 12+256,HL,"$3,500 MXN",Tamaño original,p3 r61: Samsung NOTE10 PLUS | CELULAR OFERTA 12+256
celulares-oferta,3,62,Samsung NOTE 20 Ultra,CELULAR OFERTA 12+256,HL,"$3,800 MXN",Tamaño original,p3 r62: Samsung NOTE 20 Ultra | CELULAR OFERTA 12+256
