date,planned_time,channel,campaign_code,focus,media_asset,landing_url,publish_status,published_url,qualified_whatsapp_leads,quotes_sent,orders_paid,revenue_mxn,median_first_response_minutes,owner_notes
2026-08-21,10:30,facebook,daily_20260821_x200t_cortadora_micas,Máquinas de Mica,assets/products/cut-machine/x200t/main.jpg,https://haode.com.mx/micas-hidrogel-mayoreo-mexico/?utm_source=facebook&utm_medium=organic_social&utm_campaign=daily_20260821_x200t_cortadora_micas&utm_content=x200t_cortadora_micas,pending,,,,,,,
2026-08-21,18:00,whatsapp,daily_20260821_x200t_cortadora_micas,Máquinas de Mica,assets/products/cut-machine/x200t/main.jpg,https://haode.com.mx/micas-hidrogel-mayoreo-mexico/?utm_source=whatsapp&utm_medium=referral&utm_campaign=daily_20260821_x200t_cortadora_micas&utm_content=x200t_cortadora_micas,pending,,,,,,,
2026-08-22,13:00,instagram,daily_20260822_productos_ai_haode,Productos AI,assets/images/home-categories/productos-ai.jpg,https://haode.com.mx/productos-ai/?utm_source=instagram&utm_medium=organic_social&utm_campaign=daily_20260822_productos_ai_haode&utm_content=productos_ai_haode,pending,,,,,,,
2026-08-22,16:00,tiktok,daily_20260822_productos_ai_haode,Productos AI,assets/images/home-categories/productos-ai.jpg,https://haode.com.mx/productos-ai/?utm_source=tiktok&utm_medium=organic_social&utm_campaign=daily_20260822_productos_ai_haode&utm_content=productos_ai_haode,pending,,,,,,,
2026-08-22,18:00,whatsapp,daily_20260822_productos_ai_haode,Productos AI,assets/images/home-categories/productos-ai.jpg,https://haode.com.mx/productos-ai/?utm_source=whatsapp&utm_medium=referral&utm_campaign=daily_20260822_productos_ai_haode&utm_content=productos_ai_haode,pending,,,,,,,
2026-08-23,10:30,facebook,daily_20260823_app_catalogo_haode,Catálogo App,assets/images/factory-store-hero-products.png,https://haode.com.mx/app/?utm_source=facebook&utm_medium=organic_social&utm_campaign=daily_20260823_app_catalogo_haode&utm_content=app_catalogo_haode#lista,pending,,,,,,,
2026-08-23,13:00,instagram,daily_20260823_app_catalogo_haode,Catálogo App,assets/images/factory-store-hero-products.png,https://haode.com.mx/app/?utm_source=instagram&utm_medium=organic_social&utm_campaign=daily_20260823_app_catalogo_haode&utm_content=app_catalogo_haode#lista,pending,,,,,,,
2026-08-23,18:00,whatsapp,daily_20260823_app_catalogo_haode,Catálogo App,assets/images/factory-store-hero-products.png,https://haode.com.mx/app/?utm_source=whatsapp&utm_medium=referral&utm_campaign=daily_20260823_app_catalogo_haode&utm_content=app_catalogo_haode#lista,pending,,,,,,,
2026-08-24,09:30,google_business,daily_20260824_distribuidores_haode,Distribuidores,assets/images/factory-store-storefront.png,https://haode.com.mx/distribuidores/?utm_source=google_business&utm_medium=organic&utm_campaign=daily_20260824_distribuidores_haode&utm_content=distribuidores_haode,pending,,,,,,,
2026-08-24,10:30,facebook,daily_20260824_distribuidores_haode,Distribuidores,assets/images/factory-store-storefront.png,https://haode.com.mx/distribuidores/?utm_source=facebook&utm_medium=organic_social&utm_campaign=daily_20260824_distribuidores_haode&utm_content=distribuidores_haode,pending,,,,,,,
2026-08-24,18:00,whatsapp,daily_20260824_distribuidores_haode,Distribuidores,assets/images/factory-store-storefront.png,https://haode.com.mx/distribuidores/?utm_source=whatsapp&utm_medium=referral&utm_campaign=daily_20260824_distribuidores_haode&utm_content=distribuidores_haode,pending,,,,,,,
2026-08-25,09:30,google_business,daily_20260825_refacciones_mayoreo_mexico,Mayoreo México,assets/images/factory-store-warehouse.png,https://haode.com.mx/refacciones-celulares-mayoreo-mexico/?utm_source=google_business&utm_medium=organic&utm_campaign=daily_20260825_refacciones_mayoreo_mexico&utm_content=refacciones_mayoreo_mexico,pending,,,,,,,
2026-08-25,10:30,facebook,daily_20260825_refacciones_mayoreo_mexico,Mayoreo México,assets/images/factory-store-warehouse.png,https://haode.com.mx/refacciones-celulares-mayoreo-mexico/?utm_source=facebook&utm_medium=organic_social&utm_campaign=daily_20260825_refacciones_mayoreo_mexico&utm_content=refacciones_mayoreo_mexico,pending,,,,,,,
2026-08-25,18:00,whatsapp,daily_20260825_refacciones_mayoreo_mexico,Mayoreo México,assets/images/factory-store-warehouse.png,https://haode.com.mx/refacciones-celulares-mayoreo-mexico/?utm_source=whatsapp&utm_medium=referral&utm_campaign=daily_20260825_refacciones_mayoreo_mexico&utm_content=refacciones_mayoreo_mexico,pending,,,,,,,
